# output/curr_dump.csv run at 2018-03-01 00:00:00 PST on 230 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
line76to86,6.820099,-0.994337,-7.639382,-9.767169,-1.293774,3.241666
line77to78,6.817938,-0.996592,-2.178120,-2.793656,-2.578536,6.490696
line78to79,3.409320,-0.500131,0.000632,-0.000446,-0.000596,-0.000291
line78to80,3.408659,-0.496789,-2.179033,-2.793012,-2.577675,6.491116
line80to81,3.408851,-0.498345,0.002738,-0.001933,-2.576416,6.491729
line81to82,3.409042,-0.499902,0.001404,-0.000991,-0.645009,1.621915
line81to84,0.000000,0.000000,0.000000,0.000000,-1.930148,4.870427
line82to83,-0.000101,0.000819,0.000702,-0.000496,-0.644346,1.622238
line84to85,0.000000,0.000000,0.000000,0.000000,-1.285504,3.248028
line86to87,6.819940,-0.996430,-6.550461,-8.371216,-1.291567,3.242711
line87to88,3.410226,-0.500720,0.000000,0.000000,0.000000,0.000000
line87to89,3.409895,-0.497184,-4.366098,-5.581318,-1.290374,3.243292
line89to90,0.000000,0.000000,-2.185980,-2.789133,0.000000,0.000000
line89to91,3.410006,-0.498085,-2.180889,-2.791640,-1.289645,3.243648
line91to92,0.000000,0.000000,0.000000,0.000000,-1.286928,3.244971
line91to93,3.410096,-0.498822,-2.181521,-2.791194,-0.002121,-0.001033
line93to94,3.410308,-0.500542,0.000772,-0.000546,-0.000729,-0.000355
line93to95,-0.000121,0.000983,-2.182924,-2.790202,-0.000795,-0.000387
line95to96,0.000000,0.000000,-1.091742,-1.394910,0.000000,0.000000
line97to98,3.409359,-0.493627,-2.175449,-2.792886,-1.293457,3.242105
line98to99,0.000375,0.004934,-2.176265,-2.792550,-1.292590,3.242516
line99to100,0.000250,0.003289,0.003264,-0.001343,-1.290856,3.243337
line100to450,0.000182,0.002392,0.002374,-0.000977,-0.002522,-0.001195
line101to102,0.000000,0.000000,0.000000,0.000000,-3.221042,8.113852
line101to105,11.939293,-1.752637,-4.358374,-5.583017,-0.005043,-0.002390
line102to103,0.000000,0.000000,0.000000,0.000000,-2.575876,6.492243
line103to104,0.000000,0.000000,0.000000,0.000000,-1.288057,3.246355
line105to106,0.000000,0.000000,-4.363122,-5.581063,0.000000,0.000000
line105to108,11.939231,-1.753459,0.003932,-0.001618,-0.004176,-0.001979
line106to107,0.000000,0.000000,-2.181671,-2.790736,0.000000,0.000000
line108to109,11.938928,-1.757420,0.000000,0.000000,0.000000,0.000000
line108to300,0.000229,0.002989,0.002967,-0.001221,-0.003152,-0.001494
line109to110,8.528320,-1.255040,0.000000,0.000000,0.000000,0.000000
line110to111,1.705399,-0.249827,0.000000,0.000000,0.000000,0.000000
line110to112,6.822913,-1.005858,0.000000,0.000000,0.000000,0.000000
line112to113,5.117539,-0.755084,0.000000,0.000000,0.000000,0.000000
line113to114,1.705705,-0.250873,0.000000,0.000000,0.000000,0.000000
line135to35,25.478581,-3.580241,-13.630419,-17.521349,-6.307303,15.667383
line149to1,57.980162,11.342323,-49.172658,-63.162557,-37.896488,94.518679
line152to52,66.824358,-9.677410,-31.209212,-40.021789,-20.910598,52.535535
line16001to67,47.742464,-6.995591,-22.355414,-28.610319,-14.505839,36.506031
line197to101,11.939350,-1.751889,-4.357633,-5.583322,-3.226873,8.111089
trans6101to610,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000
reg150to15001,57.980162,11.342323,-49.172658,-63.162557,-37.896488,94.518679
reg9to901,-60.658547,28.235207,0.000000,0.000000,0.000000,0.000000
reg25to2501,3.513537,-0.492354,0.000000,0.000000,-1.330145,3.287721
reg160to16001,50.129587,-7.345371,-22.495136,-28.789134,-14.959146,37.646844
sw13to152,66.824358,-9.677410,-31.209212,-40.021789,-20.910598,52.535535
sw18to135,25.478581,-3.580241,-13.630419,-17.521349,-6.307303,15.667383
sw54to94,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sw60to160,50.129587,-7.345371,-22.495136,-28.789134,-14.959146,37.646844
sw61to6101,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000
sw97to197,11.939350,-1.751889,-4.357632,-5.583322,-3.226873,8.111089
sw151to300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sw15001to149,57.980162,11.342323,-49.172658,-63.162557,-37.896488,94.518679
sw250to251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sw300to350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sw450to451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sw95to195,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
xfrm_1A,3.510112,-0.473272,0.000000,0.000000,0.000000,0.000000
xfrm_2B,0.000000,0.000000,-1.081922,-1.403640,0.000000,0.000000
xfrm_4C,0.000000,0.000000,0.000000,0.000000,-1.340866,3.282892
xfrm_5C,0.000000,0.000000,0.000000,0.000000,-0.671310,1.640691
xfrm_6C,0.000000,0.000000,0.000000,0.000000,-1.340509,3.283599
xfrm_7A,1.754477,-0.236580,0.000000,0.000000,0.000000,0.000000
xfrm_9A,3.505006,-0.474408,0.000000,0.000000,0.000000,0.000000
xfrm_10A,1.755156,-0.233586,0.000000,0.000000,0.000000,0.000000
xfrm_11A,3.511078,-0.469941,0.000000,0.000000,0.000000,0.000000
xfrm_12B,0.000000,0.000000,-1.084629,-1.404046,0.000000,0.000000
xfrm_16C,0.000000,0.000000,0.000000,0.000000,-1.329324,3.294106
xfrm_17C,0.000000,0.000000,0.000000,0.000000,-0.665711,1.645975
xfrm_19A,3.513244,-0.492153,0.000000,0.000000,0.000000,0.000000
xfrm_20A,3.513506,-0.492555,0.000000,0.000000,0.000000,0.000000
xfrm_22B,0.000000,0.000000,-2.177934,-2.804129,0.000000,0.000000
xfrm_24C,0.000000,0.000000,0.000000,0.000000,-1.328294,3.298197
xfrm_28A,3.512836,-0.494112,0.000000,0.000000,0.000000,0.000000
xfrm_29A,3.512812,-0.494389,0.000000,0.000000,0.000000,0.000000
xfrm_30C,0.000000,0.000000,0.000000,0.000000,-1.328310,3.298524
xfrm_31C,0.000000,0.000000,0.000000,0.000000,-0.668183,1.654920
xfrm_32C,0.000000,0.000000,0.000000,0.000000,-0.668132,1.655022
xfrm_33A,3.513262,-0.494980,0.000000,0.000000,0.000000,0.000000
xfrm_34C,0.000000,0.000000,0.000000,0.000000,-1.329677,3.293412
xfrm_35A,3.513531,-0.493395,0.000000,0.000000,0.000000,0.000000
xfrm_37A,3.514053,-0.494217,0.000000,0.000000,0.000000,0.000000
xfrm_38B,0.000000,0.000000,-1.088471,-1.401998,0.000000,0.000000
xfrm_39B,0.000000,0.000000,-1.088591,-1.402004,0.000000,0.000000
xfrm_41C,0.000000,0.000000,0.000000,0.000000,-0.664979,1.647815
xfrm_42A,1.756795,-0.246167,0.000000,0.000000,0.000000,0.000000
xfrm_43B,0.000000,0.000000,-2.180904,-2.803027,0.000000,0.000000
xfrm_45A,1.756986,-0.246596,0.000000,0.000000,0.000000,0.000000
xfrm_46A,1.757047,-0.246689,0.000000,0.000000,0.000000,0.000000
xfrm_47A,2.635767,-0.371077,0.000000,0.000000,0.000000,0.000000
xfrm_47B,0.000000,0.000000,-1.634934,-2.102286,0.000000,0.000000
xfrm_47C,0.000000,0.000000,0.000000,0.000000,-0.995783,2.473216
xfrm_48A,6.152500,-0.875385,0.000000,0.000000,0.000000,0.000000
xfrm_48B,0.000000,0.000000,-3.824300,-4.902671,0.000000,0.000000
xfrm_48C,0.000000,0.000000,0.000000,0.000000,-2.316361,5.777666
xfrm_49A,2.635805,-0.371187,0.000000,0.000000,0.000000,0.000000
xfrm_49B,0.000000,0.000000,-3.824521,-4.902694,0.000000,0.000000
xfrm_49C,0.000000,0.000000,0.000000,0.000000,-0.995588,2.473346
xfrm_50C,0.000000,0.000000,0.000000,0.000000,-1.326318,3.298926
xfrm_51A,1.757038,-0.246922,0.000000,0.000000,0.000000,0.000000
xfrm_52A,3.512812,-0.489425,0.000000,0.000000,0.000000,0.000000
xfrm_53A,3.513588,-0.491883,0.000000,0.000000,0.000000,0.000000
xfrm_55A,1.756728,-0.245371,0.000000,0.000000,0.000000,0.000000
xfrm_56B,0.000000,0.000000,-1.088335,-1.402314,0.000000,0.000000
xfrm_58B,0.000000,0.000000,-1.089769,-1.402204,0.000000,0.000000
xfrm_59B,0.000000,0.000000,-1.089861,-1.402209,0.000000,0.000000
xfrm_60A,1.757774,-0.251771,0.000000,0.000000,0.000000,0.000000
xfrm_62C,0.000000,0.000000,0.000000,0.000000,-1.318491,3.307262
xfrm_63A,3.516647,-0.506611,0.000000,0.000000,0.000000,0.000000
xfrm_64B,0.000000,0.000000,-3.835507,-4.905234,0.000000,0.000000
xfrm_65A,2.637426,-0.379375,0.000000,0.000000,0.000000,0.000000
xfrm_65B,0.000000,0.000000,-1.639789,-2.103505,0.000000,0.000000
xfrm_65C,0.000000,0.000000,0.000000,0.000000,-2.302272,5.797973
xfrm_66C,0.000000,0.000000,0.000000,0.000000,-2.302395,5.798901
xfrm_68A,1.704311,-0.248382,0.000000,0.000000,0.000000,0.000000
xfrm_69A,3.409632,-0.499895,0.000000,0.000000,0.000000,0.000000
xfrm_70A,1.704713,-0.249033,0.000000,0.000000,0.000000,0.000000
xfrm_71A,3.410154,-0.500742,0.000000,0.000000,0.000000,0.000000
xfrm_73C,0.000000,0.000000,0.000000,0.000000,-1.286879,3.245944
xfrm_74C,0.000000,0.000000,0.000000,0.000000,-1.286427,3.246798
xfrm_75C,0.000000,0.000000,0.000000,0.000000,-1.286168,3.247286
xfrm_76A,8.527021,-1.268036,0.000000,0.000000,0.000000,0.000000
xfrm_76B,0.000000,0.000000,-3.826162,-4.880859,0.000000,0.000000
xfrm_76C,0.000000,0.000000,0.000000,0.000000,-2.247565,5.683557
xfrm_77B,0.000000,0.000000,-2.182928,-2.790055,0.000000,0.000000
xfrm_79A,3.409410,-0.500868,0.000000,0.000000,0.000000,0.000000
xfrm_80B,0.000000,0.000000,-2.183104,-2.790137,0.000000,0.000000
xfrm_82A,3.409244,-0.501540,0.000000,0.000000,0.000000,0.000000
xfrm_83C,0.000000,0.000000,0.000000,0.000000,-0.643684,1.622560
xfrm_84C,0.000000,0.000000,0.000000,0.000000,-0.643402,1.623094
xfrm_85C,0.000000,0.000000,0.000000,0.000000,-1.284630,3.248517
xfrm_86B,0.000000,0.000000,-1.090997,-1.395098,0.000000,0.000000
xfrm_87B,0.000000,0.000000,-2.185626,-2.789005,0.000000,0.000000
xfrm_88A,3.410222,-0.501097,0.000000,0.000000,0.000000,0.000000
xfrm_90B,0.000000,0.000000,-2.186380,-2.788897,0.000000,0.000000
xfrm_92C,0.000000,0.000000,0.000000,0.000000,-1.286376,3.245281
xfrm_94A,3.410419,-0.501443,0.000000,0.000000,0.000000,0.000000
xfrm_95B,0.000000,0.000000,-1.092024,-1.394697,0.000000,0.000000
xfrm_96B,0.000000,0.000000,-1.092097,-1.394701,0.000000,0.000000
xfrm_98A,3.408921,-0.499383,0.000000,0.000000,0.000000,0.000000
xfrm_99B,0.000000,0.000000,-2.181161,-2.790536,0.000000,0.000000
xfrm_100C,0.000000,0.000000,0.000000,0.000000,-1.287389,3.244980
xfrm_102C,0.000000,0.000000,0.000000,0.000000,-0.644752,1.621841
xfrm_103C,0.000000,0.000000,0.000000,0.000000,-1.287222,3.246223
xfrm_104C,0.000000,0.000000,0.000000,0.000000,-1.286769,3.247077
xfrm_106B,0.000000,0.000000,-2.181852,-2.790092,0.000000,0.000000
xfrm_107B,0.000000,0.000000,-2.182694,-2.790135,0.000000,0.000000
xfrm_109A,3.410596,-0.503349,0.000000,0.000000,0.000000,0.000000
xfrm_111A,1.705383,-0.251064,0.000000,0.000000,0.000000,0.000000
xfrm_112A,1.705371,-0.251043,0.000000,0.000000,0.000000,0.000000
xfrm_113A,3.411820,-0.505340,0.000000,0.000000,0.000000,0.000000
xfrm_114A,1.705696,-0.251572,0.000000,0.000000,0.000000,0.000000
# output/curr_dump.csv run at 2018-03-01 00:01:00 PST on 230 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
line1to2,0.000000,0.000000,-1.081683,-1.403846,0.000000,0.000000
line1to3,0.000000,0.000000,0.000000,0.000000,-3.353091,8.208081
line1to7,61.974149,8.357612,-51.855654,-65.523857,-37.512156,97.669016
line3to4,0.000000,0.000000,0.000000,0.000000,-1.340653,3.283467
line3to5,0.000000,0.000000,0.000000,0.000000,-2.011991,4.924871
line5to6,0.000000,0.000000,0.000000,0.000000,-1.340385,3.284123
line7to8,57.526773,9.281176,-51.856496,-65.523278,-37.511381,97.669397
line8to12,0.000000,0.000000,-1.084408,-1.404357,0.000000,0.000000
line8to9,-60.876500,27.349248,0.000000,0.000000,0.000000,0.000000
line8to13,118.403361,-18.068703,-50.772649,-64.118534,-37.510864,97.669650
line901to14,-64.838033,27.987741,0.000000,0.000000,0.000000,0.000000
line13to34,0.000000,0.000000,0.000000,0.000000,-4.546105,12.724521
line13to18,45.131587,-6.608409,-15.802017,-20.332909,-10.859796,27.661996
line14to11,3.511078,-0.469425,0.000000,0.000000,0.000000,0.000000
line14to10,1.755156,-0.233071,0.000000,0.000000,0.000000,0.000000
line15to16,0.000000,0.000000,0.000000,0.000000,-1.984695,5.703907
line15to17,0.000000,0.000000,0.000000,0.000000,-0.665381,1.646984
line18to19,7.027676,-0.987652,0.000000,0.000000,0.000000,0.000000
line18to21,12.622434,-2.028272,-2.172730,-2.807872,-3.992181,9.903290
line19to20,3.513969,-0.493950,0.000000,0.000000,0.000000,0.000000
line21to22,0.000000,0.000000,-2.177202,-2.804865,0.000000,0.000000
line21to23,12.622350,-2.029288,0.003757,-0.002526,-3.991427,9.903871
line23to24,0.000000,0.000000,0.000000,0.000000,-1.327553,3.300398
line23to25,12.622279,-2.030135,0.003161,-0.002125,-2.663246,6.603957
line2501to26,3.514166,-0.494886,0.000000,0.000000,-1.324908,3.284718
line25to28,9.108035,-1.536180,0.002505,-0.001684,-1.329367,3.299243
line26to27,3.514013,-0.495781,0.000000,0.000000,-0.000564,-0.000450
line26to31,0.000000,0.000000,0.000000,0.000000,-1.323627,3.285740
line27to33,3.513894,-0.496484,0.000000,0.000000,0.000000,0.000000
line28to29,3.513717,-0.494155,0.002028,-0.001363,-1.328864,3.299630
line29to30,0.000157,0.001863,0.001312,-0.000882,-1.328111,3.300210
line30to250,0.000057,0.000677,0.000477,-0.000321,-0.000502,-0.000387
line31to32,0.000000,0.000000,0.000000,0.000000,-0.661856,1.642881
line34to15,0.000000,0.000000,0.000000,0.000000,-2.650254,7.350789
line35to36,3.514197,-0.494006,-2.174893,-2.806009,0.000000,0.000000
line35to40,18.453182,-2.606887,-11.457511,-14.717148,-6.864435,17.760742
line36to37,3.514454,-0.495671,0.000000,0.000000,0.000000,0.000000
line36to38,0.000000,0.000000,-2.176206,-2.804931,0.000000,0.000000
line38to39,0.000000,0.000000,-1.088096,-1.402508,0.000000,0.000000
line40to41,0.000000,0.000000,0.000000,0.000000,-1.232918,3.727418
line40to42,18.453288,-2.607674,-11.458209,-14.716664,-5.630872,14.033636
line42to43,0.000000,0.000000,-2.180144,-2.803932,0.000000,0.000000
line42to44,16.696421,-2.361258,-9.278764,-11.912248,-5.630226,14.033949
line44to45,3.514397,-0.494331,0.000000,0.000000,0.000000,0.000000
line44to47,13.182109,-1.867557,-9.279322,-11.911860,-5.629710,14.034200
line45to46,1.757229,-0.247109,0.000000,0.000000,0.000000,0.000000
line47to48,6.153095,-0.878593,-3.824066,-4.903571,-2.313039,5.782843
line47to49,4.393086,-0.617117,-3.820925,-4.905230,-2.321847,5.776165
line49to50,1.757054,-0.245091,0.003056,-0.001487,-1.327127,3.300820
line50to51,1.757095,-0.245808,0.002292,-0.001115,-0.002214,-0.000870
line51to151,-0.000081,0.001434,0.001528,-0.000743,-0.001476,-0.000580
line52to53,67.677387,-10.428240,-34.972591,-43.784270,-22.103155,57.284014
line53to54,64.163104,-9.934794,-34.973150,-43.783883,-22.102639,57.284264
line54to55,1.756910,-0.244773,-1.087303,-1.403399,-0.001420,-0.000688
line54to57,62.406247,-9.690414,-33.886196,-42.380242,-22.100895,57.285108
line55to56,-0.000116,0.000865,-1.088071,-1.402866,-0.000710,-0.000344
line57to58,0.000000,0.000000,-2.180093,-2.804957,0.000000,0.000000
line57to60,62.406175,-9.691416,-31.707131,-39.574863,-22.099819,57.285611
line58to59,0.000000,0.000000,-1.090093,-1.402481,0.000000,0.000000
line60to61,-0.000125,0.001860,0.001364,-0.001085,-0.001321,-0.000857
line60to62,6.156155,-0.867976,-7.214763,-8.799146,-6.573636,17.333627
line62to63,6.156113,-0.871805,-7.218063,-8.797212,-5.254595,14.024648
line63to64,2.638363,-0.364828,-7.220372,-8.795859,-5.252266,14.025953
line64to65,2.638304,-0.370188,-3.385468,-3.887262,-5.247609,14.028563
line65to66,0.000056,0.004976,0.004286,-0.002512,-2.944535,8.226360
line67to68,10.310081,-1.513550,0.000000,0.000000,0.000000,0.000000
line67to72,24.702225,-3.929164,-17.806201,-22.205567,-10.048689,25.373942
line67to97,17.509916,-2.822672,-6.538564,-8.376326,-5.187258,13.845071
line68to69,8.592246,-1.262669,0.000000,0.000000,0.000000,0.000000
line69to70,5.155524,-0.757415,0.000000,0.000000,0.000000,0.000000
line70to71,3.437266,-0.506128,0.000000,0.000000,0.000000,0.000000
line72to73,0.000000,0.000000,0.000000,0.000000,-3.886477,9.824372
line72to76,24.702164,-3.929976,-17.807013,-22.205231,-6.161353,15.549973
line73to74,0.000000,0.000000,0.000000,0.000000,-2.590707,6.550274
line74to75,0.000000,0.000000,0.000000,0.000000,-1.295266,3.275365
line76to77,9.231956,-1.640565,-4.364840,-5.583821,-2.596573,6.547081
line76to86,6.874922,-1.006111,-9.612203,-11.740745,-1.301979,3.269846
line77to78,9.232118,-1.641861,-2.180576,-2.793301,-2.595523,6.547588
line78to79,5.796186,-1.138859,0.000630,-0.000445,-0.000590,-0.000285
line78to80,3.435973,-0.503327,-2.181486,-2.792659,-2.594671,6.548001
line80to81,3.436165,-0.504866,0.002729,-0.001927,-2.593425,6.548603
line81to82,3.436357,-0.506405,0.001400,-0.000988,-0.649282,1.636098
line81to84,0.000000,0.000000,0.000000,0.000000,-1.942896,4.913107
line82to83,-0.000101,0.000810,0.000700,-0.000494,-0.648627,1.636415
line84to85,0.000000,0.000000,0.000000,0.000000,-1.293988,3.276506
line86to87,6.874765,-1.008178,-8.521748,-10.344968,-1.299793,3.270872
line87to88,3.437636,-0.506558,0.000000,0.000000,0.000000,0.000000
line87to89,3.437311,-0.503078,-4.372901,-5.580465,-1.298613,3.271443
line89to90,0.000000,0.000000,-2.189378,-2.788709,0.000000,0.000000
line89to91,3.437422,-0.503969,-2.184292,-2.791212,-1.297891,3.271792
line91to92,0.000000,0.000000,0.000000,0.000000,-1.295202,3.273092
line91to93,3.437512,-0.504698,-2.184921,-2.790767,-0.002099,-0.001015
line93to94,3.437724,-0.506399,0.000769,-0.000544,-0.000721,-0.000349
line93to95,-0.000121,0.000972,-2.186319,-2.789779,-0.000787,-0.000381
line95to96,0.000000,0.000000,-1.093438,-1.394699,0.000000,0.000000
line97to98,3.436400,-0.499761,-2.177586,-2.792831,-1.301707,3.270747
line98to99,0.000369,0.004874,-2.178399,-2.792494,-1.300848,3.271150
line99to100,0.000246,0.003249,0.003252,-0.001346,-1.299131,3.271956
line100to450,0.000179,0.002363,0.002365,-0.000979,-0.002497,-0.001172
line101to102,0.000000,0.000000,0.000000,0.000000,-3.878996,10.577403
line101to105,14.073404,-2.324388,-4.362456,-5.582884,-0.004994,-0.002345
line102to103,0.000000,0.000000,0.000000,0.000000,-3.229710,8.941356
line103to104,0.000000,0.000000,0.000000,0.000000,-1.296104,3.275653
line105to106,0.000000,0.000000,-4.367186,-5.580926,0.000000,0.000000
line105to108,14.073343,-2.325200,0.003917,-0.001622,-0.004136,-0.001942
line106to107,0.000000,0.000000,-2.183703,-2.790667,0.000000,0.000000
line108to109,14.073044,-2.329112,0.000000,0.000000,0.000000,0.000000
line108to300,0.000225,0.002953,0.002956,-0.001224,-0.003121,-0.001466
line109to110,8.597007,-1.272411,0.000000,0.000000,0.000000,0.000000
line110to111,1.719125,-0.253284,0.000000,0.000000,0.000000,0.000000
line110to112,6.877873,-1.019765,0.000000,0.000000,0.000000,0.000000
line112to113,5.158775,-0.765547,0.000000,0.000000,0.000000,0.000000
line113to114,1.719444,-0.254339,0.000000,0.000000,0.000000,0.000000
line135to35,25.481245,-3.595281,-13.631256,-17.523714,-6.865542,17.760305
line149to1,65.484277,7.885067,-52.936212,-66.928475,-40.866281,105.876587
line152to52,73.271904,-11.461241,-34.971472,-43.785044,-22.104188,57.283511
line16001to67,52.522079,-8.264251,-24.343783,-30.582585,-15.236865,39.218567
line197to101,14.073460,-2.323649,-4.361717,-5.583190,-3.884771,10.574691
trans6101to610,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
reg150to15001,65.484277,7.885067,-52.936212,-66.928475,-40.866281,105.876587
reg9to901,-64.381757,27.823883,0.000000,0.000000,0.000000,0.000000
reg25to2501,3.514166,-0.494886,0.000000,0.000000,-1.333189,3.305247
reg160to16001,54.491657,-8.574160,-24.495932,-30.773726,-15.522557,39.953915
sw13to152,73.271904,-11.461241,-34.971472,-43.785044,-22.104188,57.283511
sw18to135,25.481245,-3.595281,-13.631256,-17.523714,-6.865542,17.760305
sw54to94,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sw60to160,54.491657,-8.574160,-24.495932,-30.773726,-15.522557,39.953915
sw61to6101,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000
sw97to197,14.073460,-2.323649,-4.361717,-5.583190,-3.884771,10.574691
sw151to300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sw15001to149,65.484277,7.885067,-52.936212,-66.928475,-40.866281,105.876587
